nom,type,portion,calories,proteins,lipides,glucides,fibres
Perrier,autre,100,0,0,0,0,0
Jambon de dinde,meat,100,104,17.07,1.66,4.21,0.5
Châtaigne,autre,100,196,1.63,1.25,44.17,
Pomme (sans la peau),fruit,100,48,0.27,0.13,12.76,1.3
Pain au levain,autre,100,289,11.75,1.83,56.44,2.4
Tortellinis au fromage,autre,100,307,13.5,7.23,47,1.9
Champignon de Paris (conserve),autre,100,25,1.87,0.29,5.09,2.83
Huile de lin,autre,100,885,0,100,0,0
Spaghetti,autre,100,158,5.8,0.93,30.86,1.8
Persil (déshydraté),autre,100,276,22.42,4.43,51.66,30.4
Vinaigrette (huile et vinaigre),sauce,100,449,0,50.1,2.5,0
Salade de chou,vegetable,100,153,0.95,9.91,14.89,1.6
Câpres,autre,100,23,2.36,0.86,4.89,3.2
Oeuf de caille,egg,100,159,13.05,11.09,0.41,0
Pruneau au sirop,autre,100,105,0.87,0.2,27.8,3.8
Tarte aux légumes,autre,100,,,,,
Choux de Bruxelles,autre,100,36,2.55,0.5,7.1,3.57
Foie de porc,meat,100,165,26.02,4.4,3.76,0
Épinard cuit,vegetable,100,23,2.97,0.26,3.75,2.4
Son d'avoine cuit,autre,100,40,3.21,0.86,11.44,2.1
Lait de soja,sauce,100,,,,,
Falafel,autre,100,,,,,
Haricots mungo germés cuits,autre,100,21,2.03,0.09,4.19,0.8
Cervelle d'agneau,autre,100,273,16.97,22.19,0,0
Couscous (mouton),autre,100,,,,,
Homard d'Amérique,seafood,100,98,20.5,0.59,1.28,0
Beurre doux,dairy,100,717,0.85,81.11,0.06,0
Chocolat chaud (poudre),autre,100,398,6.67,4,83.73,3.7
Patate douce au four avec la peau,autre,100,90,2.01,0.15,20.71,3.3
Barre granny tendre,autre,100,,,,,
Rôti de viande froid,autre,100,353,12.59,32.16,2.33,0
Sundae fraises,autre,100,175,4.09,5.13,29.18,0
Raclette,autre,100,,,,,
Chapon rôti,autre,100,229,28.96,11.65,0,0
Chou gras cuit,vegetable,100,32,3.2,0.7,5,2.1
Maïs doux,cereal,100,96,3.41,1.5,20.98,2.4
Maquereau,autre,100,262,23.85,17.81,0,0
Lait écrémé (poudre),dairy,100,363,36.16,0.77,51.98,0
Bonbons durs aux édulcorants,autre,100,395,0,0,98.6,0
Bacon grillé,autre,100,541,37.04,41.78,1.43,0
Pain (baguette),autre,100,275,8.48,1.3,57.4,2.8
Ananas en morceaux,autre,100,86,0.4,0.1,22.2,1.1
Sandwich jambon œuf fromage,dairy,100,,,,,
Chausson aux pommes,autre,100,,,,,
Blanc de poulet pané et frit,meat,100,303,21.91,18.11,12.01,0.27
Pâte à tartiner chocolat-noisettes,autre,100,541,5.41,29.73,62.16,5.4
Pousses de bambou,autre,100,12,1.53,0.22,1.92,1
Saucisse fumée (poulet),autre,100,223,15.51,16.19,2.74,0.4
Écrevisse,autre,100,87,17.52,1.3,0,0
Lait  concentré sucré,dairy,100,321,7.91,8.7,54.4,0
Zeste de citron,autre,100,47,1.5,0.3,16,10.6
Cervelas,autre,100,362,17.45,30.43,3.33,0
Pain de viande (porc),autre,100,,,,,
Cannelle en poudre,spice,100,247,3.99,1.24,80.59,53.1
Pâte de fruit,autre,100,351,1.8,5.3,78.5,3.5
Crêpe au beurre,autre,100,224,3.56,6.03,39.18,0.76
Végétaline,autre,100,900,0,100,0,0
Golden Grahams,autre,100,375,5,3.667,83.333,3
Muesli (weetabix),autre,100,372,11,5,71,7.8
Oeuf (blanc),egg,100,48,9.99,0,1.182,0
Tabasco,autre,100,12,1.29,0.76,0.8,0.6
Vodka,autre,100,231,0,0,0,0
Mélasse,autre,100,290,0,0.1,74.73,0
Oeufs de poisson,autre,100,204,28.62,8.23,1.92,0
Biscuit aux figues,autre,100,348,3.7,7.3,70.9,4.6
Saumon Atlantique (sauvage),seafood,100,182,25.44,8.13,0,0
Saumon rouge,seafood,100,216,27.31,10.97,0,0
Algue Kombu (varech),autre,100,43,1.68,0.56,9.57,1.3
Lingue,autre,100,111,24.35,0.82,0,0
Clou de girofle en poudre,autre,100,323,5.98,20.07,61.21,34.2
Ravioli de bœuf  (conserve),meat,100,92,3.3,2.67,13.58,0.5
Cantal,autre,100,,,,,
Sandwich jambon fromage,dairy,100,,,,,
Tostada au fromage et bœuf,autre,100,,,,,
Glaçage au sucre,autre,100,,,,,
Petits pois et carottes (congelés),autre,100,53,3.4,0.47,11.15,3.4
Crabe rouge,seafood,100,79,15.05,0.935,1.43,0
Bouillon ou consommé de bœuf (déshydraté),meat,100,3,0.21,0.08,0.25,0
Gaufrette fourrée,autre,100,511,4.1,24.3,70.1,0.6
Hareng fumé,autre,100,217,24.58,12.37,0,0
Jus de tomate,sauce,100,52,4.48,1.92,4.93,0.5
Fenouil cru,autre,100,31,1.24,0.2,7.29,3.1
Moutarde jaune,autre,100,66,4.37,4.01,5.33,3.3
Cocktail pina-colada (rhum),autre,100,,,,,
"Maïs, beignet",autre,100,374,8.55,21.238,38.623,1.994
Pain italien,autre,100,271,8.8,3.5,50,2.7
Piment fort (conserve),autre,100,21,0.9,0.1,5.1,1.3
Poivron,vegetable,100,18,0.8,0.3,3.9,1.2
Biscuits petits animaux,autre,100,,,,,
Poudre de cacao non sucré,autre,100,228,19.6,13.7,57.9,33.2
