nom,type,portion,calories,proteins,lipides,glucides,fibres
Chou à la crème,vegetable,100,0,0,0,0,0
Flan au chocolat,autre,100,142,2.09,4.6,23.01,0
Glaçage au chocolat,autre,100,0,0,0,0,0
Manioc,cereal,100,159,1.36,0.28,38.06,1.8
Flan à la vanille,autre,100,130,1.45,3.78,22.6,0
Bonbon au caramel,autre,100,382,4.6,8.1,77,0
Sanglier,meat,100,111,21.3,2.9,0,0
Pâtisson,nuts,100,16,1.03,0.17,3.3,1.9
Riz sauvage,cereal,100,101,3.99,0.34,21.34,1.8
Raisin,fruit,100,67,0.63,0.35,17.15,0.9
Vinaigrette (huile et vinaigre),autre,100,449,0,50.1,2.5,0
Nectarine,fruit,100,44,1.06,0.32,10.55,1.7
Taco,autre,100,217,12.08,12.02,15.63,0
Champignon de Paris cru,vegetable,100,22,3.09,0.34,3.28,1
Cresson cuit,vegetable,100,23,1.9,0.6,3.8,0.7
Cervelas,autre,100,362,17.45,30.43,3.33,0
Jus de tomate,sauce,100,52,4.48,1.92,4.93,0.5
Crevettes panées,seafood,100,277,11.51,15.18,24.39,0.26
Agneau (coupes diverses),meat,100,206,28.992,9.862,0,0
Aiglefin,seafood,100,112,24.24,0.93,0,0
Lièvre,meat,100,192,30,8,0,0
Lingue,autre,100,111,24.35,0.82,0,0
Riz brun grain moyen sec,cereal,100,362,7.5,2.68,76.17,3.4
Biscuit au sucre,autre,100,478,5.1,21.1,67.9,0.8
Noix de coco crue,nuts,100,354,3.33,33.49,15.23,9
Nèfle du Japon,fruit,100,47,0.43,0.2,12.14,1.7
Carotte crue,vegetable,100,41,0.93,0.24,9.58,2.44
Noisette,nuts,100,646,15.03,62.4,17.6,9.4
Dinde rôtie avec la peau,meat,100,157,29.916,7.097,0,0
Mandarine,fruit,100,53,0.81,0.31,13.34,1.8
Ail en poudre,spice,100,331,16.55,0.73,72.73,9
Spaghetti,autre,100,158,5.8,0.93,30.86,1.8
Tortilla nature,autre,100,489,7.79,23.36,65.56,5.3
Riz blanc grain moyen sec,cereal,100,360,6.61,0.58,79.34,1.4
Mozzarella,dairy,100,300,22.17,22.35,2.19,0
Gingembre confit,spice,100,340,0.3,0.2,87.1,0
Ricotta au lait demi-écrémé,dairy,100,138,11.39,7.91,5.14,0
Amuse-gueule à base de maïs goût fromage,autre,100,526,9.3,33.2,51.6,9.9
Ail cru,spice,100,149,6.36,0.5,33.06,2.1
Gingembre frais,spice,100,521,6.9,35,44.6,8.6
Huile de carthame riche en acide linoléique,autre,100,885,0,100,0,0
Riz blanc grain court cuit,cereal,100,130,2.36,0.19,28.73,0
Soda à l'orange,drink,100,48,0,0,12.3,0
Tarte au chocolat,autre,100,304,2.6,19.4,33.6,2
Espadon,seafood,100,155,25.39,5.14,0,0
Farine de riz blanc,cereal,100,0,0,0,0,0
Saucisse de Morteau,meat,100,0,0,0,0,0
Soupe de pois cassés,autre,100,49,2.83,0.58,8.37,1.1
Rognon d'agneau,meat,100,137,23.65,3.62,0.99,0
